brand,model,vram,gddr,boostClock,coreClock,lengthInMM,powerDraw
Asus,DUAL OC GeForce RTX 5050,8,GDDR6,2677,2317,203,
MSI,VENTUS 2X XS OC GeForce RTX 3050,8,GDDR6,1807,1550,205,
Gigabyte,WINDFORCE GeForce RTX 5060 Ti,16,GDDR7,2572,2410,208,
Asus,TUF GAMING OC GeForce RTX 5080,16,GDDR7,,2300,348,
Zotac,SOLID SFF OC GeForce RTX 5070 Ti,16,GDDR7,2482,2300,304,
Gigabyte,EAGLE OC SFF GeForce RTX 5070,12,GDDR7,2587,2160,290,
PNY,RTX A-Series RTX A6000,48,GDDR6,1860,1455,267,
ASRock,Taichi OC Radeon RX 9070 XT,16,GDDR6,3100,2570,330,
Asus,TUF GAMING OC GeForce RTX 5070 Ti,16,GDDR7,2610,2300,329,
Asus,PRIME OC Radeon RX 9060 XT,16,GDDR6,3330,2220,304,
PNY,Dual Fan OC GeForce RTX 5060 Ti,16,GDDR7,2691,2407,245,
XFX,RX-79TMBABF9 Radeon RX 7900 XT,20,GDDR6,2400,2000,276,
Gigabyte,GAMING OC GeForce RTX 5070 Ti,16,GDDR7,,2588,340,
ASRock,Challenger OC Radeon RX 9060 XT,16,GDDR6,3290,2220,249,
Gigabyte,GAMING OC GeForce RTX 5090,32,GDDR7,2550,2010,342,
Asus,DUAL OC GeForce RTX 5060,8,GDDR6,2565,2280,228,
MSI,VENTUS 2X PLUS OC GeForce RTX 5060 Ti,8,GDDR7,2617,2410,227,
Gigabyte,EAGLE OC ICE SFF GeForce RTX 5070 Ti,16,GDDR7,,2541,304,
Gigabyte,GAMING OC GeForce RTX 5060 Ti,16,GDDR7,2647,2410,281,
Sapphire,PULSE Radeon RX 9070,16,GDDR6,2520,2070,280,
NVIDIA,Founders Edition GeForce RTX 4090,24,GDDR6X,2520,2230,304,
PNY,ARGB EPIC-X RGB OC GeForce RTX 5080,16,GDDR7,2780,2300,329,
PowerColor,Hellhound OC Radeon RX 9070,16,GDDR6,2590,2070,327,
Asus,TUF GAMING GeForce RTX 5090,32,GDDR7,,2010,348,
MSI,GAMING TRIO OC GeForce RTX 5080,16,GDDR7,,2300,338,
Gigabyte,GAMING OC Radeon RX 7600 XT,16,GDDR6,2810,1720,281,
Asus,ROG Astral OC GeForce RTX 5090,32,GDDR7,2610,2010,358,
ASRock,Challenger Radeon RX 9070,16,GDDR6,2520,2070,290,
XFX,Mercury OC RGB Radeon RX 9070 XT,16,GDDR6,3100,1870,360,
Gigabyte,AERO OC SFF GeForce RTX 5080,16,GDDR7,,2300,304,
MSI,VENTUS 2X OC GeForce RTX 5060,8,GDDR6,2535,2280,197,
Acer,Nitro OC Arc B580,12,GDDR6,,2740,268,
Asus,TUF GAMING OC GeForce RTX 4070 Ti SUPER,16,GDDR6X,2670,2340,305,
MSI,GAMING TRIO OC GeForce RTX 5070 Ti,16,GDDR7,2580,2300,338,
Gigabyte,WINDFORCE OC GeForce RTX 4070,12,GDDR6X,2490,1920,261,
MSI,VENTUS 2X OC GeForce RTX 5070,12,GDDR7,2557,2160,236,
Gigabyte,GAMING OC Radeon RX 9060 XT,8,GDDR6,3320,2220,281,
Gigabyte,GAMING OC Rev 2.0 GeForce RTX 3060,12,GDDR6,1837,1320,282,
Gigabyte,WINDFORCE SFF GeForce RTX 5070,12,GDDR7,2512,2160,282,
XFX,Swift OC Radeon RX 9060 XT,8,GDDR6,3320,2220,270,
NVIDIA,Founders Edition GeForce RTX 3080 Ti,12,GDDR6X,1670,1370,285,
ASRock,Steel Legend OC Radeon RX 9060 XT,16,GDDR6,3320,2220,298,
MSI,GAMING TRIO OC WHITE GeForce RTX 5070,12,GDDR7,,2160,338,
Asus,PRIME OC GeForce RTX 5080,16,GDDR7,,2300,306,
XFX,Speedster SWFT 210 Radeon RX 6600,8,GDDR6,2491,1626,241,
Zotac,GAMING SOLID CORE OC GeForce RTX 5080,16,GDDR7,2640,2300,304,
Gigabyte,GAMING OC Radeon RX 7600,8,GDDR6,2755,1720,282,
Asus,TUF GAMING OC Radeon RX 9070 XT,16,GDDR6,3080,2520,330,
Sapphire,PULSE Radeon RX 9060 XT,8,GDDR6,3290,2220,240,
ASRock,Steel Legend OC Arc B580,12,GDDR6,2800,2670,298,
Asus,ROG Astral LC OC GeForce RTX 5090,32,GDDR7,2610,2010,288,
MSI,SUPRIM LIQUID SOC GeForce RTX 5090,32,GDDR7,,2010,280,
Gigabyte,AORUS ELITE Radeon RX 9070 XT,16,GDDR6,3100,2570,339,
Gigabyte,AERO OC GeForce RTX 5060 Ti,16,GDDR7,2647,2410,281,
PowerColor,Hellhound OC Radeon RX 9070 XT,16,GDDR6,3010,2400,327,
Gigabyte,OC Low Profile GeForce RTX 5060,8,GDDR6,,2280,182,
Gigabyte,WINDFORCE OC GeForce RTX 4060,8,GDDR6,,1830,192,
MSI,VENTUS 2X GeForce RTX 5060,8,GDDR6,2512,2280,197,
Asus,TUF GAMING OC GeForce RTX 3070,8,GDDR6,1845,1500,300,
MSI,VANGUARD SOC LAUNCH EDITION GeForce RTX 5090,32,GDDR7,,2010,357,
Asus,ROG STRIX GAMING OC GeForce RTX 5070 Ti,16,GDDR7,2625,2300,332,
Asus,ROG Astral OC GeForce RTX 5080,16,GDDR7,2790,2300,358,
PowerColor,RX7800XT 16G-P Radeon RX 7800 XT,16,GDDR6,2430,1295,260,
XFX,Speedster MERC 310 Radeon RX 7900 XT,20,GDDR6,2535,2000,344,
NVIDIA,Founders Edition GeForce RTX 4070,12,GDDR6X,2480,1920,244,
Gigabyte,AORUS MASTER GeForce RTX 5080,16,GDDR7,,2300,360,
MSI,GeForce RTX 3060 Ti GAMING X,8,GDDR6,1770,1410,278,
Gigabyte,AORUS MASTER ICE GeForce RTX 5080,16,GDDR7,,2300,360,
MSI,GAMING TRIO OC GeForce RTX 5070,12,GDDR7,,2160,338,
