brand,model,type,capacity,amount,speed,latency
G.Skill,Trident Z RGB 16 GB,DDR4,8,2,3600,18
Corsair,Vengeance 64 GB,DDR5,32,2,6400,32
Corsair,Vengeance RGB Pro 32 GB,DDR4,16,2,3200,16
Crucial,CT8G4DFS824A 8 GB,DDR4,8,1,2400,17
G.Skill,Trident Z5 Neo 64 GB,DDR5,32,2,6000,30
G.Skill,Ripjaws V 32 GB,DDR4,16,2,3600,16
ADATA,XPG Lancer Blade 32 GB,DDR5,16,2,6000,30
Crucial,CP2K64G56C46U5 128 GB,DDR5,64,2,5600,46
Patriot,Venom 64 GB,DDR5,32,2,6000,30
Silicon Power,XPOWER Zenith Gaming 64 GB,DDR5,32,2,6000,30
Corsair,Vengeance LPX 16 GB,DDR4,8,2,3600,18
Corsair,Dominator Titanium 96 GB,DDR5,48,2,6600,32
Corsair,Vengeance RGB 32 GB,DDR5,16,2,5200,40
Crucial,Pro Overclocking 64 GB,DDR5,32,2,6400,40
PNY,XLR8 16 GB,DDR4,8,2,3200,16
G.Skill,Trident Z5 Royal Neo RGB 64 GB,DDR5,32,2,6000,30
PNY,XLR8 Gaming RGB 32 GB,DDR5,16,2,6000,36
Kingston,Server Premier 64 GB,DDR4,64,1,3200,22
TEAMGROUP,T-Force Delta RGB 16 GB,DDR4,8,2,3600,18
Klevv,BOLT V 32 GB,DDR5,16,2,6000,30
Kingston,FURY Beast 8 GB,DDR4,8,1,3200,16
Corsair,Vengeance 32 GB,DDR5,16,2,5600,40
G.Skill,Trident Z RGB 64 GB,DDR4,32,2,3600,18
Patriot,Viper Venom 64 GB,DDR5,32,2,6400,32
Kingston,FURY Beast 32 GB,DDR5,16,2,5200,40
Patriot,Viper Venom 32 GB,DDR5,16,2,7000,32
Corsair,Vengeance 32 GB,DDR5,16,2,6000,36
Corsair,Vengeance RGB 64 GB,DDR5,32,2,6000,30
Corsair,Dominator Titanium 32 GB,DDR5,16,2,6000,30
Corsair,Vengeance RGB 32 GB,DDR5,16,2,6000,30
Lexar,Ares RGB 32 GB,DDR5,16,2,6400,32
Corsair,Vengeance RGB 128 GB,DDR5,32,4,5600,40
Crucial,Pro 64 GB,DDR5,32,2,6000,40
ADATA,XPG Lancer Blade RGB 32 GB,DDR5,16,2,6000,30
Corsair,Vengeance RGB 32 GB,DDR5,16,2,5600,40
PNY,XLR8 Gaming EPIC-X RGB 16 GB,DDR4,8,2,3600,18
Kingston,FURY Beast 16 GB,DDR5,8,2,5600,40
G.Skill,Trident Z5 RGB 32 GB,DDR5,16,2,6000,36
Corsair,Vengeance 64 GB,DDR5,32,2,6000,30
Corsair,Vengeance 64 GB,DDR5,32,2,6000,40
Klevv,FIT V 32 GB,DDR5,16,2,6000,32
G.Skill,Trident Z5 Neo 32 GB,DDR5,16,2,6000,30
Klevv,BOLT V 32 GB,DDR5,16,2,6000,28
Silicon Power,SP016GLLTU160N22 16 GB,DDR3,8,2,1600,11
G.Skill,Ripjaws V 32 GB,DDR4,16,2,4000,18
G.Skill,Trident Z5 Neo RGB 64 GB,DDR5,32,2,6000,26
Corsair,Vengeance 64 GB,DDR5,32,2,5600,40
G.Skill,Flare X5 32 GB,DDR5,16,2,6000,28
OLOy,MD4U083016BJDA 16 GB,DDR4,8,2,3000,16
Crucial,CT2K16G48C40U5 32 GB,DDR5,16,2,4800,40
Patriot,Viper Venom 16 GB,DDR5,16,1,6000,30
Corsair,Dominator Titanium 96 GB,DDR5,48,2,6600,32
Crucial,CT2K16G56C46U5 32 GB,DDR5,16,2,5600,46
Corsair,Vengeance RGB Pro 16 GB,DDR4,8,2,3200,16
G.Skill,Aegis 16 GB,DDR4,8,2,3000,16
Crucial,Pro 32 GB,DDR4,16,2,3200,22
Kingston,FURY Beast 64 GB,DDR5,32,2,6400,32
Kingston,HyperX Fury 16 GB,DDR4,8,2,3200,16
Silicon Power,XPOWER Pulse Gaming 32 GB,DDR5,16,2,6000,36
Corsair,Vengeance RGB Pro 32 GB,DDR4,8,4,3000,15
Patriot,Viper Venom 16 GB,DDR5,8,2,5200,36
Corsair,Vengeance 32 GB,DDR5,16,2,6400,36
Silicon Power,XPOWER Zenith RGB Gaming 64 GB,DDR5,32,2,6000,30
Corsair,Vengeance RGB 192 GB,DDR5,48,4,5200,38
Corsair,Vengeance LPX 8 GB,DDR4,8,1,2400,16
Kingston,KHX8500D2K2/4GR 4 GB,DDR2,2,2,1066,5
G.Skill,Ripjaws S5 32 GB,DDR5,16,2,6000,30
Corsair,Vengeance RGB 32 GB,DDR5,16,2,6000,36
Corsair,Vengeance RGB 96 GB,DDR5,48,2,6000,30
TEAMGROUP,T-Force Vulcan Z 32 GB,DDR4,16,2,3200,16
Patriot,Viper Venom 32 GB,DDR5,16,2,7200,34
Crucial,CT4G4DFS824A 4 GB,DDR4,4,1,2400,17
Patriot,Signature Line 32 GB,DDR5,16,2,4800,40
Corsair,Vengeance 32 GB,DDR5,16,2,6000,28
Corsair,Vengeance 32 GB,DDR5,16,2,6000,36
Patriot,Viper Xtreme 5 32 GB,DDR5,16,2,8200,38
G.Skill,Trident Z5 Royal 32 GB,DDR5,16,2,6400,30
Corsair,Vengeance RGB 16 GB,DDR5,8,2,5200,40
Kingston,FURY Beast RGB 32 GB,DDR5,16,2,5600,36
Corsair,Vengeance LPX 32 GB,DDR4,16,2,3600,18
Timetec,PINNACLE Konduit 32 GB,DDR4,16,2,3200,16
Corsair,Vengeance RGB 32 GB,DDR5,16,2,6000,28
Kingston,FURY Beast RGB 64 GB,DDR5,32,2,6000,30
Crucial,CT16G48C40U5 16 GB,DDR5,16,1,4800,40
Silicon Power,XPOWER Storm RGB 32 GB,DDR5,16,2,6000,36
TEAMGROUP,T-Force Delta RGB 64 GB,DDR5,32,2,6000,38
G.Skill,Ripjaws S5 64 GB,DDR5,32,2,5600,28
TEAMGROUP,T-Force Delta RGB 32 GB,DDR5,16,2,6400,32
PNY,XLR8 Gaming Low Profile 32 GB,DDR4,16,2,3200,16
Corsair,Vengeance RGB Pro 32 GB,DDR4,8,4,4266,19
Corsair,Vengeance 32 GB,DDR5,16,2,5600,40
Patriot,Viper Elite 5 Ultra 32 GB,DDR5,16,2,6000,28
Corsair,Vengeance LPX 256 GB,DDR4,32,8,3200,16
G.Skill,Flare X5 64 GB,DDR5,32,2,6000,28
Corsair,Vengeance RGB 32 GB,DDR5,16,2,8000,36
Acer,Predator Vesta II RGB 32 GB,DDR5,16,2,6000,30
Patriot,Viper Venom RGB 32 GB,DDR5,16,2,6000,30
Lexar,THOR 32 GB,DDR4,16,2,3200,16
G.Skill,Ripjaws V 32 GB,DDR4,16,2,3600,18
G.Skill,Flare X5 128 GB,DDR5,64,2,6000,32
Crucial,Classic 8 GB,DDR5,8,1,5600,46
G.Skill,Trident Z5 Neo RGB 96 GB,DDR5,48,2,6000,26
Corsair,Dominator Titanium 64 GB,DDR5,32,2,6000,30
Corsair,Dominator Titanium 96 GB,DDR5,48,2,7000,40
Lexar,Ares RGB 32 GB,DDR5,16,2,6000,30
