brand,model,chipset,socketType,format,ramSlots,ramCapacity,memoryType
ASRock,B550M-ITX/ac,B550M,AM4,Mini ITX,2,64,DDR4
Asus,ROG CROSSHAIR X870E HERO,X870E,AM5,ATX,4,256,DDR5
ASRock,B650M Pro RS,B650M,AM5,Micro ATX,4,256,DDR5
MSI,A520M-A PRO,A520M,AM4,Micro ATX,2,64,DDR4
ASRock,B550M Pro4,B550M,AM4,Micro ATX,4,128,DDR4
MSI,PRO X870E-P WIFI,X870E,AM5,ATX,4,256,DDR5
MSI,PRO H610M-G DDR4,H610M,LGA1700,Micro ATX,2,64,DDR4
Gigabyte,X870 AORUS ELITE WIFI7,X870,AM5,ATX,4,256,DDR5
MSI,PRO B650-A WIFI,B650,AM5,ATX,4,256,DDR5
ASRock,B550 Phantom Gaming 4/ac,B550,AM4,ATX,4,128,DDR4
MSI,B450M-A PRO MAX II,B450M,AM4,Micro ATX,2,64,DDR4
Gigabyte,X870I AORUS PRO ICE,X870I,AM5,Mini ITX,2,128,DDR5
Gigabyte,B850M AORUS ELITE WIFI6E ICE,B850M,AM5,Micro ATX,4,256,DDR5
MSI,MEG X870E GODLIKE,X870E,AM5,EATX,4,256,DDR5
Gigabyte,Z790 AORUS ELITE AX,Z790,LGA1700,ATX,4,256,DDR5
Asus,ROG STRIX X870-I GAMING WIFI,X870I,AM5,Mini ITX,2,128,DDR5
MSI,PRO B550M-VC WIFI,B550M,AM4,Micro ATX,4,128,DDR4
Asus,TUF GAMING X870-PLUS WIFI,X870,AM5,ATX,4,192,DDR5
Asus,TUF GAMING B850-E WIFI,B850,AM5,ATX,4,256,DDR5
MSI,MPG B850I EDGE TI WIFI,B850I,AM5,Mini ITX,2,128,DDR5
MSI,PRO B850M-P WIFI,B850M,AM5,Micro ATX,4,256,DDR5
ASRock,Phantom Gaming X870E Nova WiFi,X870E,AM5,ATX,4,256,DDR5
MSI,MAG B850M MORTAR WIFI,B850M,AM5,Micro ATX,4,256,DDR5
MSI,PRO B760-P WIFI DDR4,B760,LGA1700,ATX,4,128,DDR4
MSI,PRO B650M-P,B650M,AM5,Micro ATX,4,192,DDR5
ASRock,B850M-X R2.0,B850M,AM5,Micro ATX,2,128,DDR5
Asus,B650E MAX GAMING WIFI,B650E,AM5,ATX,4,192,DDR5
MSI,B760M GAMING PLUS WIFI,B760M,LGA1700,Micro ATX,4,192,DDR5
Asus,ProArt X870E-CREATOR WIFI,X870E,AM5,ATX,4,256,DDR5
ASRock,B850M Pro RS WiFi,B850M,AM5,Micro ATX,4,256,DDR5
Gigabyte,B850 EAGLE WIFI7 ICE,B850,AM5,ATX,4,256,DDR5
Asus,B760M-AYW WIFI D4 II,B760M,LGA1700,Micro ATX,2,64,DDR4
Gigabyte,B850M EAGLE WIFI6E,B850M,AM5,Micro ATX,4,256,DDR5
Asus,TUF GAMING Z790-PLUS WIFI,Z790,LGA1700,ATX,4,192,DDR5
MSI,MAG B550 TOMAHAWK,B550,AM4,ATX,4,128,DDR4
Gigabyte,A620I AX,A620I,AM5,Mini ITX,2,96,DDR5
Gigabyte,B650 AORUS ELITE AX ICE,B650,AM5,ATX,4,192,DDR5
Asus,ROG STRIX X870E-H GAMING WIFI7,X870E,AM5,ATX,4,256,DDR5
ASRock,X870E Taichi,X870E,AM5,EATX,4,256,DDR5
MSI,MPG X870E EDGE TI WIFI,X870E,AM5,ATX,4,256,DDR5
ASRock,B550M-HDV,B550M,AM4,Micro ATX,2,64,DDR4
Gigabyte,A520I AC,A520I,AM4,Mini ITX,2,64,DDR4
MSI,B650M GAMING PLUS WIFI,B650M,AM5,Micro ATX,4,192,DDR5
Gigabyte,X870E AORUS MASTER,X870E,AM5,ATX,4,256,DDR5
ASRock,B660M Pro RS,B660M,LGA1700,Micro ATX,4,128,DDR4
Gigabyte,B550 UD AC,B550,AM4,ATX,4,128,DDR4
Asus,TUF GAMING B650M-PLUS WIFI,B650M,AM5,Micro ATX,4,192,DDR5
MSI,PRO Z790-P WIFI,Z790,LGA1700,ATX,4,256,DDR5
MSI,PRO B850-S WIFI6E,B850,AM5,ATX,4,256,DDR5
MSI,B850 GAMING PLUS WIFI6E,B850,AM5,ATX,4,256,DDR5
ASRock,X870 Pro RS WiFi,X870,AM5,ATX,4,256,DDR5
Gigabyte,B650M GAMING WIFI6E,B650M,AM5,Micro ATX,2,128,DDR5
MSI,PRO B760M-P DDR4,B760M,LGA1700,Micro ATX,4,128,DDR4
Gigabyte,X870E AORUS PRO,X870E,AM5,ATX,4,256,DDR5
Asus,ROG STRIX B860-I GAMING WIFI,B860I,LGA1851,Mini ITX,2,128,DDR5
Gigabyte,X870E AORUS MASTER X3D ICE,X870E,AM5,ATX,4,256,DDR5
Asus,TUF GAMING X570-PLUS (WI-FI),X570,AM4,ATX,4,128,DDR4
ASRock,B650M PG Lightning Wifi,B650M,AM5,Micro ATX,4,256,DDR5
Gigabyte,B550 GAMING X V2,B550,AM4,ATX,4,128,DDR4
Gigabyte,B550I AORUS PRO AX,B550I,AM4,Mini ITX,2,64,DDR4
