brand,model,type,capacity,formFactor,interface,cache
Western Digital,Green SN350,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Seagate,BarraCuda,7200 RPM,1000,3.5",SATA 6.0 Gb/s,64
Samsung,970 Evo Plus,SSD,2000,M.2-2280,M.2 PCIe 3.0 X4,1024
Patriot,P300,SSD,256,M.2-2280,M.2 PCIe 3.0 X4,
Western Digital,WD Blue SN5000,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
Crucial,BX500,SSD,1000,2.5",SATA 6.0 Gb/s,
Kingston,A400,SSD,240,2.5",SATA 6.0 Gb/s,
MSI,SPATIUM M480 PRO,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
KingSpec,XG7000,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,990 EVO,SSD,2000,M.2-2280,M.2 PCIe 5.0 X2,
Crucial,P510,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,
TEAMGROUP,T-FORCE G50,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
PNY,CS2241,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
TEAMGROUP,T-FORCE G50,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Blue,7200 RPM,2000,3.5",SATA 6.0 Gb/s,256
Samsung,980,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Mushkin,Gamma,SSD,8000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,990 Pro w/Heatsink,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,4096
Acer,Predator GM7000,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,1024
Seagate,IronWolf NAS,7200 RPM,8000,3.5",SATA 6.0 Gb/s,256
Western Digital,WD_BLACK SN7100,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
MSI,SPATIUM M461,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,970 Evo Plus,SSD,500,M.2-2280,M.2 PCIe 3.0 X4,512
Western Digital,Blue SN580,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
TEAMGROUP,MP33,SSD,512,M.2-2280,M.2 PCIe 3.0 X4,
Seagate,IronWolf NAS,5400 RPM,4000,3.5",SATA 6.0 Gb/s,256
Crucial,P3 Plus,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
Kingston,KC3000,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,970 Evo,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,1024
MSI,SPATIUM M480 PRO,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,1024
Samsung,980,SSD,500,M.2-2280,M.2 PCIe 3.0 X4,
Crucial,T500,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Lexar,NM790,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
Crucial,T705,SSD,4000,M.2-2280,M.2 PCIe 5.0 X4,
Seagate,BarraCuda,7200 RPM,16000,3.5",SATA 6.0 Gb/s,512
Sabrent,Rocket 4 Plus,SSD,8000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,990 EVO,SSD,1000,M.2-2280,M.2 PCIe 5.0 X2,
Patriot,P400 Lite,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Blue,5400 RPM,4000,3.5",SATA 6.0 Gb/s,256
Samsung,860 Evo,SSD,1000,2.5",SATA 6.0 Gb/s,1024
Gigabyte,AORUS Gen4 7300,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
Patriot,P300,SSD,128,M.2-2280,M.2 PCIe 3.0 X4,
MSI,SPATIUM M470 PRO,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Seagate,SuperSpeed HDD,Hybrid,1000,2.5",SATA 6.0 Gb/s,64
Kingston,Fury Renegade,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
PNY,CS900,SSD,1000,2.5",SATA 6.0 Gb/s,
Crucial,T700,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,
Kingston,A400,SSD,480,2.5",SATA 6.0 Gb/s,
Seagate,BarraCuda,7200 RPM,2000,3.5",SATA 6.0 Gb/s,64
Corsair,MP700 Elite,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,
Intel,Optane 905P,SSD,1500,2.5",U.2,
Western Digital,Black SN770,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,WD_BLACK SN8100,SSD,1000,M.2-2280,M.2 PCIe 5.0 X4,1024
KIOXIA,EXCERIA PLUS G3,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
KingSpec,XF,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Crucial,P3,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Crucial,P310,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
ADATA,LEGEND 860,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Crucial,BX500,SSD,2000,2.5",SATA 6.0 Gb/s,
TEAMGROUP,MP33,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Seagate,IronWolf Pro,7200 RPM,30000,3.5",SATA 6.0 Gb/s,512
PNY,CS2241,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Corsair,MP400,SSD,8000,M.2-2280,M.2 PCIe 3.0 X4,
Toshiba,HDKBB96,5400 RPM,1000,2.5",SATA 6.0 Gb/s,8
KingSpec,XG7000,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Seagate,IronWolf Pro NAS,7200 RPM,12000,3.5",SATA 6.0 Gb/s,256
Samsung,9100 PRO w/Heatsink,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,2048
Western Digital,WD_BLACK SN7100,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,970 Evo,SSD,500,M.2-2280,M.2 PCIe 3.0 X4,512
Lexar,NQ790,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,WDS100T4X0E-00CJA0,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,860 Pro,SSD,4000,2.5",SATA 6.0 Gb/s,4096
PNY,CS2150,SSD,1000,M.2-2280,M.2 PCIe 5.0 X4,
Crucial,T500,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,9100 PRO w/Heatsink,SSD,4000,M.2-2280,M.2 PCIe 5.0 X4,4096
Kingston,FURY Renegade G5,SSD,2048,M.2-2280,M.2 PCIe 5.0 X4,
Patriot,P400 Lite,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,850 Evo,SSD,250,2.5",SATA 6.0 Gb/s,
Kingston,A400,SSD,960,2.5",SATA 6.0 Gb/s,
Seagate,Surveillance HDD,5400 RPM,2000,3.5",SATA 6.0 Gb/s,64
Samsung,990 Pro w/Heatsink,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,1024
Crucial,T700,SSD,4000,M.2-2280,M.2 PCIe 5.0 X4,
Kingston,NV2,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
